"","memory-1","memory-2","memory-3","plasmablasts-1","plasmablasts-2","plasmablasts-3","plasmacells-1","plasmacells-2","plasmacells-3","preplasmablasts-1","preplasmablasts-2","preplasmablasts-3"
"PRDX3",315.077079128113,370.57525998527,311.12365679986,7330.05380510632,5121.6982677416,4441.39385293344,3566.35660144473,4935.76206207395,4488.59611323848,19495.0837564794,11000.8160407689,8207.98517970983
"PRDX3P1",6.49646046629911,2.76310727546602,4.91865463708166,0,0,0,0,0,0,0.617495447367783,0,0
"PRDX4",311.252727083353,567.997156349255,134.502359475294,25448.8055109234,15528.2005289381,8048.4771583178,15617.6146390833,24171.9595098773,20764.4095682282,5088.91304105133,2845.92481664075,1830.16489085093
"PRDX5",626.137670212952,531.73226130629,375.466984533339,6738.35528490972,6671.4589030466,7233.54562004488,4307.1820186079,5485.26142446321,2687.18610730433,5057.39562003243,5913.89131211814,4562.18748300107
"PRDX6",2612.90287351462,2564.06070044284,1756.20260008252,2632.66044046567,2580.48741578492,2578.1704268304,1926.90860116214,2618.38655447149,1448.44502802476,3182.68468041583,3263.64103059944,2762.05990375517
"PREB",286.275738506058,109.396926006009,76.2683394962568,6718.75743474732,8417.69369526574,6734.39471482341,5562.21005764207,6466.03084418376,5213.65272196563,2913.7831785555,4423.35955964768,3529.89727999509
"PRELID1",1733.60204622911,1314.36322670995,635.516135473618,3909.82368263679,4281.0110888202,4124.96289020408,2760.18648586581,3751.74983352879,2050.26817629979,6033.46141832413,7927.30955188533,6948.35409462691
"PRELID1P1",0,1.15589041606998,1.23669781136318,0.974878551523952,8.77232148981016,5.03219647355902,0,8.76592826081978,5.527056975137,3.13135662869876,9.4369643505328,8.44701866365633
"PRELID1P4",4.12699002713849,2.64498486037352,8.79338145397011,0,0,0,0,0,0,1.19876415036282,0,0.676713316637851
"PRELID1P6",69.3275881816791,12.3362796632068,22.8202672599739,65.264586021178,127.79881502311,72.1841331980389,39.4042943028449,96.1174800305971,32.8987496180958,76.1389284924064,240.027421431976,119.551534648489
"PRELID2",42.4074835466338,45.2952656311848,35.7390387774472,40.4192296187358,55.7947143955248,28.777818564566,24.993346934421,17.9099893373139,45.3463553293903,185.396646477631,160.283978890986,88.3330487003197
"PRELID3A",9.07701458754898,9.21246021107884,3.40446446695331,4.93733217209444,15.2443591296906,1.85320300010325,13.1093803248682,4.70698635831546,7.09129710694852,70.5982819613082,81.6156086609096,105.412565090887
"PRELID3B",3950.40040717266,6206.80968902165,5033.36173775675,4832.70887600643,2731.72419983666,2249.62133774108,1630.19284421707,2408.81228309307,2866.75768917467,7386.76503866638,4035.66488434261,3111.61426435614
"PRELP",29.6413964502309,23.7658892999822,45.5076925735523,4.21628254985329,1.16052258923134,1.17494583340528,4.49548387181321,3.8350566382121,9.11128718475031,5.19282547347084,3.53917122464125,6.2292892337919
"PREP",358.704828608349,323.032075882677,326.446201110125,818.297069491184,1002.79963232479,1141.94750162713,982.37300179332,1087.9920198518,614.60428430402,1622.56102544931,2336.38988024046,1999.21540562293
"PREPL",424.132650528709,554.317104222551,354.630578483476,978.483380036694,1056.57701735861,906.55258331529,1565.02201510857,1669.34567087587,1140.20736125436,762.051607711604,874.177082577975,743.588726916901
"PREX1",5488.93136940027,4258.97910260201,6781.28773263975,4168.47597977587,4678.91287253172,6217.56572747825,3635.35944094644,3938.26758193859,2762.49893195956,4942.38661251816,7319.67338196024,7589.25708718788
"PREX2",10.4054584370359,20.4129734179405,22.4179490913405,4.04596573605666,2.35072959541271,1.13735093412336,5.77425964886154,1.99803169096983,6.54869904486078,5.36492208797301,0.60099338228079,10.4999094232201
